Algorithm,Size,Comparisons,Exchanges,Time(ms)
Insertion Sort,8734,18913933,18922666,5
Insertion Sort,2889,2125362,2128250,0
Insertion Sort,7422,13840637,13848058,3
Insertion Sort,5520,7594783,7600302,2
Insertion Sort,5497,7457833,7463329,2
Insertion Sort,2592,1696318,1698909,0
Insertion Sort,835,177114,177948,0
Insertion Sort,4078,4171068,4175145,1
Insertion Sort,1264,400568,401831,0
Insertion Sort,5295,7089945,7095239,1
Insertion Sort,2201,1214509,1216709,0
Insertion Sort,3326,2704120,2707445,0
Insertion Sort,853,189391,190243,0
Insertion Sort,6554,10722344,10728897,2
Insertion Sort,1787,800289,802075,0
Insertion Sort,3924,3863488,3867411,1
Insertion Sort,3598,3256218,3259815,0
Insertion Sort,8943,20001859,20010801,5
Insertion Sort,3811,3633857,3637667,1
Insertion Sort,2537,1598594,1601130,0
Insertion Sort,5306,7055350,7060655,1
Insertion Sort,8197,16698133,16706329,4
Insertion Sort,3556,3129881,3133436,0
Insertion Sort,5619,7768188,7773806,2
Insertion Sort,1890,915578,917467,0
Insertion Sort,2493,1589228,1591720,0
Insertion Sort,2550,1644602,1647151,0
Insertion Sort,5123,6549408,6554530,1
Insertion Sort,7082,12466105,12473186,3
Insertion Sort,1495,559845,561339,0
Insertion Sort,6811,11614778,11621588,3
Insertion Sort,4986,6229908,6234893,1
Insertion Sort,8550,18288748,18297297,5
Insertion Sort,3268,2673757,2677024,0
Insertion Sort,2896,2078070,2080965,0
Insertion Sort,457,50512,50968,0
Insertion Sort,9081,20721443,20730523,5
Insertion Sort,3955,3917792,3921746,1
Insertion Sort,6976,12126666,12133641,3
Insertion Sort,2292,1327796,1330087,0
Insertion Sort,921,204684,205604,0
Insertion Sort,1515,563607,565121,0
Insertion Sort,3810,3627057,3630866,1
Insertion Sort,9921,24781192,24791112,6
Insertion Sort,8271,17076736,17085006,4
Insertion Sort,5236,6802109,6807344,1
Insertion Sort,8115,16415978,16424092,4
Insertion Sort,9987,25027270,25037256,7
Insertion Sort,570,83018,83587,0
Insertion Sort,6674,11233076,11239749,3
Insertion Sort,4830,5842628,5847457,1
Insertion Sort,5582,7716840,7722421,2
Insertion Sort,7075,12655805,12662879,3
Insertion Sort,847,183630,184476,0
Insertion Sort,5112,6597943,6603054,1
Insertion Sort,38,354,391,0
Insertion Sort,6635,10882774,10889408,3
Insertion Sort,9699,23513503,23523201,6
Insertion Sort,8024,15946217,15954240,4
Insertion Sort,457,50244,50700,0
Insertion Sort,1808,851978,853785,0
Insertion Sort,1570,632032,633601,0
Insertion Sort,2483,1530481,1532963,0
Insertion Sort,7141,12813706,12820846,3
Insertion Sort,8319,17344930,17353248,4
Insertion Sort,6019,9067944,9073962,2
Insertion Sort,6518,10529335,10535852,2
Insertion Sort,935,224323,225257,0
Insertion Sort,7907,15741952,15749858,4
Insertion Sort,9465,22544540,22554004,6
Insertion Sort,9372,21786742,21796113,6
Insertion Sort,3345,2838960,2842304,0
Insertion Sort,1771,794468,796238,0
Insertion Sort,6784,11391037,11397820,3
Insertion Sort,5440,7481088,7486527,2
Insertion Sort,4951,6199604,6204554,1
Insertion Sort,5850,8550750,8556599,2
Insertion Sort,7429,13809931,13817359,3
Insertion Sort,652,103128,103779,0
Insertion Sort,6583,10821114,10827696,3
Insertion Sort,136,5022,5157,0
Insertion Sort,2546,1639127,1641672,0
Insertion Sort,5471,7447026,7452496,2
Insertion Sort,690,120091,120780,0
Insertion Sort,5542,7678213,7683754,2
Insertion Sort,741,133543,134283,0
Insertion Sort,3934,3864978,3868911,1
Insertion Sort,555,77950,78504,0
Insertion Sort,9007,20332093,20341099,5
Insertion Sort,4396,4865320,4869715,1
Insertion Sort,5825,8660621,8666445,2
Insertion Sort,2107,1121479,1123585,0
Insertion Sort,4393,4844645,4849037,1
Insertion Sort,3487,3037524,3041010,0
Insertion Sort,9838,24271309,24281146,6
Insertion Sort,9807,23984969,23994775,6
Insertion Sort,3707,3443304,3447010,0
Insertion Sort,9065,20443570,20452634,5
Insertion Sort,5795,8433222,8439016,2
Insertion Sort,5135,6602338,6607472,1
Insertion Sort,7081,12475969,12483049,3
Insertion Sort,3380,2853287,2856666,0
Insertion Sort,3484,3037723,3041206,0
Insertion Sort,8795,19456741,19465535,5
Insertion Sort,3914,3843218,3847131,1
Insertion Sort,2833,1935664,1938496,0
Insertion Sort,1525,578252,579776,0
Insertion Sort,8628,18402505,18411132,5
Insertion Sort,4171,4413929,4418099,1
Insertion Sort,5825,8425701,8431525,2
Insertion Sort,9194,21108420,21117613,5
Insertion Sort,8340,17408346,17416685,4
Insertion Sort,8524,18210420,18218943,5
Insertion Sort,2403,1454460,1456862,0
Insertion Sort,1562,606609,608170,0
Insertion Sort,5707,8020303,8026009,2
Insertion Sort,6775,11382833,11389607,3
Insertion Sort,9866,24267465,24277330,6
Insertion Sort,2121,1126643,1128763,0
Insertion Sort,3815,3599388,3603202,1
Insertion Sort,930,216025,216954,0
Insertion Sort,6698,11086939,11093636,3
Insertion Sort,532,70852,71383,0
Insertion Sort,1375,467914,469288,0
Insertion Sort,9642,23267133,23276774,6
Insertion Sort,7088,12457216,12464303,3
Insertion Sort,5824,8582812,8588635,2
Insertion Sort,4604,5294490,5299093,1
Insertion Sort,4703,5501858,5506560,1
Insertion Sort,9819,23754134,23763952,6
Insertion Sort,3195,2498025,2501219,0
Insertion Sort,7188,12989993,12997180,3
Insertion Sort,7615,14265331,14272945,3
Insertion Sort,1450,539880,541329,0
Insertion Sort,7300,13238118,13245417,3
Insertion Sort,5797,8474652,8480448,2
Insertion Sort,2538,1632751,1635288,0
Insertion Sort,3042,2296585,2299626,0
Insertion Sort,391,36616,37006,0
Insertion Sort,1227,377147,378373,0
